date	location	variant	sequences
2022-05-02	Australia	other	1
2022-05-09	Australia	other	1
2022-05-10	Australia	other	1
2022-05-11	Australia	other	2
2022-05-12	Australia	other	1
2022-05-14	Australia	other	2
2022-05-15	Australia	other	2
2022-05-16	Australia	other	1
2022-05-19	Australia	other	4
2022-05-20	Australia	other	3
2022-05-21	Australia	other	1
2022-05-22	Australia	other	3
2022-05-23	Australia	other	1
2022-05-24	Australia	other	4
2022-05-25	Australia	other	1
2022-05-26	Australia	other	2
2022-05-27	Australia	other	1
2022-05-28	Australia	other	1
2022-06-02	Australia	other	1
2022-06-05	Australia	other	1
2022-06-06	Australia	other	1
2022-06-09	Australia	other	1
2022-06-14	Australia	other	1
2022-06-16	Australia	other	1
2022-06-17	Australia	other	1
2022-06-19	Australia	other	1
2022-06-20	Australia	other	1
2022-06-27	Australia	other	1
2022-07-05	Australia	other	2
2022-07-10	Australia	other	1
2022-07-11	Australia	other	1
2022-07-13	Australia	other	1
2022-07-15	Australia	other	3
2022-09-05	Australia	other	2
2022-09-12	Australia	other	1
2022-09-13	Australia	other	1
2022-05-02	Australia	Omicron 21K	1
2022-05-04	Australia	Omicron 21K	4
2022-05-05	Australia	Omicron 21K	2
2022-05-06	Australia	Omicron 21K	1
2022-05-08	Australia	Omicron 21K	1
2022-05-09	Australia	Omicron 21K	2
2022-05-10	Australia	Omicron 21K	4
2022-05-12	Australia	Omicron 21K	2
2022-05-13	Australia	Omicron 21K	4
2022-05-14	Australia	Omicron 21K	1
2022-05-15	Australia	Omicron 21K	3
2022-05-17	Australia	Omicron 21K	3
2022-05-18	Australia	Omicron 21K	1
2022-05-19	Australia	Omicron 21K	2
2022-05-20	Australia	Omicron 21K	1
2022-05-21	Australia	Omicron 21K	1
2022-05-22	Australia	Omicron 21K	2
2022-05-23	Australia	Omicron 21K	1
2022-05-25	Australia	Omicron 21K	1
2022-05-26	Australia	Omicron 21K	3
2022-05-27	Australia	Omicron 21K	1
2022-05-31	Australia	Omicron 21K	1
2022-06-01	Australia	Omicron 21K	1
2022-06-03	Australia	Omicron 21K	1
2022-06-09	Australia	Omicron 21K	2
2022-06-10	Australia	Omicron 21K	1
2022-06-14	Australia	Omicron 21K	1
2022-05-02	Australia	Omicron 21L	339
2022-05-03	Australia	Omicron 21L	433
2022-05-04	Australia	Omicron 21L	390
2022-05-05	Australia	Omicron 21L	376
2022-05-06	Australia	Omicron 21L	352
2022-05-07	Australia	Omicron 21L	296
2022-05-08	Australia	Omicron 21L	333
2022-05-09	Australia	Omicron 21L	397
2022-05-10	Australia	Omicron 21L	446
2022-05-11	Australia	Omicron 21L	347
2022-05-12	Australia	Omicron 21L	399
2022-05-13	Australia	Omicron 21L	336
2022-05-14	Australia	Omicron 21L	352
2022-05-15	Australia	Omicron 21L	441
2022-05-16	Australia	Omicron 21L	456
2022-05-17	Australia	Omicron 21L	428
2022-05-18	Australia	Omicron 21L	352
2022-05-19	Australia	Omicron 21L	359
2022-05-20	Australia	Omicron 21L	262
2022-05-21	Australia	Omicron 21L	193
2022-05-22	Australia	Omicron 21L	289
2022-05-23	Australia	Omicron 21L	398
2022-05-24	Australia	Omicron 21L	405
2022-05-25	Australia	Omicron 21L	302
2022-05-26	Australia	Omicron 21L	359
2022-05-27	Australia	Omicron 21L	314
2022-05-28	Australia	Omicron 21L	236
2022-05-29	Australia	Omicron 21L	331
2022-05-30	Australia	Omicron 21L	377
2022-05-31	Australia	Omicron 21L	448
2022-06-01	Australia	Omicron 21L	342
2022-06-02	Australia	Omicron 21L	353
2022-06-03	Australia	Omicron 21L	257
2022-06-04	Australia	Omicron 21L	165
2022-06-05	Australia	Omicron 21L	343
2022-06-06	Australia	Omicron 21L	365
2022-06-07	Australia	Omicron 21L	361
2022-06-08	Australia	Omicron 21L	238
2022-06-09	Australia	Omicron 21L	254
2022-06-10	Australia	Omicron 21L	156
2022-06-11	Australia	Omicron 21L	131
2022-06-12	Australia	Omicron 21L	180
2022-06-13	Australia	Omicron 21L	188
2022-06-14	Australia	Omicron 21L	212
2022-06-15	Australia	Omicron 21L	99
2022-06-16	Australia	Omicron 21L	133
2022-06-17	Australia	Omicron 21L	142
2022-06-18	Australia	Omicron 21L	136
2022-06-19	Australia	Omicron 21L	130
2022-06-20	Australia	Omicron 21L	146
2022-06-21	Australia	Omicron 21L	180
2022-06-22	Australia	Omicron 21L	128
2022-06-23	Australia	Omicron 21L	166
2022-06-24	Australia	Omicron 21L	86
2022-06-25	Australia	Omicron 21L	77
2022-06-26	Australia	Omicron 21L	175
2022-06-27	Australia	Omicron 21L	114
2022-06-28	Australia	Omicron 21L	63
2022-06-29	Australia	Omicron 21L	45
2022-06-30	Australia	Omicron 21L	103
2022-07-01	Australia	Omicron 21L	77
2022-07-02	Australia	Omicron 21L	72
2022-07-03	Australia	Omicron 21L	115
2022-07-04	Australia	Omicron 21L	76
2022-07-05	Australia	Omicron 21L	79
2022-07-06	Australia	Omicron 21L	28
2022-07-07	Australia	Omicron 21L	86
