date	location	cases
2021-10-01	Australia	2335
2021-10-02	Australia	1872
2021-10-03	Australia	2023
2021-10-04	Australia	2389
2021-10-05	Australia	2026
2021-10-06	Australia	2216
2021-10-07	Australia	2524
2021-10-08	Australia	2515
2021-10-09	Australia	2390
2021-10-10	Australia	2096
2021-10-11	Australia	1848
2021-10-12	Australia	2029
2021-10-13	Australia	2744
2021-10-14	Australia	2532
2021-10-15	Australia	2311
2021-10-16	Australia	2173
2021-10-17	Australia	2059
2021-10-18	Australia	2038
2021-10-19	Australia	2097
2021-10-20	Australia	2544
2021-10-21	Australia	2547
2021-10-22	Australia	1883
2021-10-23	Australia	2174
2021-10-24	Australia	1684
2021-10-25	Australia	1786
2021-10-26	Australia	1850
2021-10-27	Australia	2038
2021-10-28	Australia	1886
2021-10-29	Australia	1589
2021-10-30	Australia	1185
2021-10-31	Australia	1466
2021-11-01	Australia	1135
2021-11-02	Australia	1111
2021-11-03	Australia	1537
2021-11-04	Australia	1580
2021-11-05	Australia	1534
2021-11-06	Australia	1387
2021-11-07	Australia	1264
2021-11-08	Australia	1292
2021-11-09	Australia	1201
2021-11-10	Australia	1556
2021-11-11	Australia	1414
2021-11-12	Australia	1452
2021-11-13	Australia	1115
2021-11-14	Australia	995
2021-11-15	Australia	1014
2021-11-16	Australia	1228
2021-11-17	Australia	1267
2021-11-18	Australia	1505
2021-11-19	Australia	1360
2021-11-20	Australia	1465
2021-11-21	Australia	1207
2021-11-22	Australia	1002
2021-11-23	Australia	1464
2021-11-24	Australia	1527
2021-11-25	Australia	1627
2021-11-26	Australia	1480
2021-11-27	Australia	1235
2021-11-28	Australia	1155
2021-11-29	Australia	1099
2021-11-30	Australia	1417
2021-12-01	Australia	1702
2021-12-02	Australia	1522
2021-12-03	Australia	1708
2021-12-04	Australia	1249
2021-12-05	Australia	1285
2021-12-06	Australia	1434
2021-12-07	Australia	1705
2021-12-08	Australia	1654
2021-12-09	Australia	1711
2021-12-10	Australia	1757
2021-12-11	Australia	1543
2021-12-12	Australia	1843
2021-12-13	Australia	1970
2021-12-14	Australia	2809
2021-12-15	Australia	3423
2021-12-16	Australia	3802
2021-12-17	Australia	4017
2021-12-18	Australia	3862
2021-12-19	Australia	4031
2021-12-20	Australia	4492
2021-12-21	Australia	5531
2021-12-22	Australia	8357
2021-12-23	Australia	8218
2021-12-24	Australia	9855
2021-12-25	Australia	9459
2021-12-26	Australia	9884
2021-10-01	Canada	5794
2021-10-02	Canada	1728
2021-10-03	Canada	1396
