date	location	cases
2022-01-01	Massachusetts	11030
2022-01-02	Massachusetts	11030
2022-01-03	Massachusetts	11030
2022-01-04	Massachusetts	18845
2022-01-05	Massachusetts	30805
2022-01-06	Massachusetts	27411
2022-01-07	Massachusetts	29163
2022-01-08	Massachusetts	21572
2022-01-09	Massachusetts	21572
2022-01-10	Massachusetts	21572
2022-01-11	Massachusetts	20965
2022-01-12	Massachusetts	24296
2022-01-13	Massachusetts	21709
2022-01-14	Massachusetts	14670
2022-01-15	Massachusetts	15248
2022-01-16	Massachusetts	15248
2022-01-17	Massachusetts	15248
2022-01-18	Massachusetts	15248
2022-01-19	Massachusetts	16121
2022-01-20	Massachusetts	16385
2022-01-21	Massachusetts	16203
2022-01-22	Massachusetts	9011
2022-01-23	Massachusetts	9011
2022-01-24	Massachusetts	9011
2022-01-25	Massachusetts	8631
2022-01-26	Massachusetts	8955
2022-01-27	Massachusetts	9697
2022-01-28	Massachusetts	8149
2022-01-29	Massachusetts	4381
2022-01-30	Massachusetts	4381
2022-01-31	Massachusetts	4381
2022-02-01	Massachusetts	3048
2022-02-02	Massachusetts	5626
2022-02-03	Massachusetts	5436
2022-02-04	Massachusetts	4758
2022-02-05	Massachusetts	2355
2022-02-06	Massachusetts	2355
2022-02-07	Massachusetts	2355
2022-02-08	Massachusetts	2128
2022-02-09	Massachusetts	3240
2022-02-10	Massachusetts	2913
2022-02-11	Massachusetts	2847
2022-02-12	Massachusetts	1391
2022-02-13	Massachusetts	1391
2022-02-14	Massachusetts	1391
2022-02-15	Massachusetts	1684
2022-02-16	Massachusetts	1899
2022-02-17	Massachusetts	2663
2022-02-18	Massachusetts	2131
2022-02-19	Massachusetts	1095
2022-02-20	Massachusetts	1095
2022-02-21	Massachusetts	1095
2022-02-22	Massachusetts	1095
2022-02-23	Massachusetts	1036
2022-02-24	Massachusetts	1620
2022-02-25	Massachusetts	1352
2022-02-26	Massachusetts	566
2022-02-27	Massachusetts	566
2022-02-28	Massachusetts	566
2022-03-01	Massachusetts	1302
2022-03-02	Massachusetts	1017
2022-03-03	Massachusetts	1166
2022-03-04	Massachusetts	990
2022-03-05	Massachusetts	617
2022-03-06	Massachusetts	617
2022-03-07	Massachusetts	617
2022-03-08	Massachusetts	628
2022-03-09	Massachusetts	787
2022-03-10	Massachusetts	887
2022-03-11	Massachusetts	752
2022-03-12	Massachusetts	673
2022-03-13	Massachusetts	673
2022-03-14	Massachusetts	673
2022-03-15	Massachusetts	531
2022-03-16	Massachusetts	812
2022-03-17	Massachusetts	1019
2022-03-18	Massachusetts	882
2022-03-19	Massachusetts	594
2022-03-20	Massachusetts	594
2022-03-21	Massachusetts	594
2022-03-22	Massachusetts	814
2022-03-23	Massachusetts	1216
2022-03-24	Massachusetts	1233
2022-03-25	Massachusetts	1194
2022-03-26	Massachusetts	875
2022-03-27	Massachusetts	875
2022-03-28	Massachusetts	875
2022-03-29	Massachusetts	949
2022-03-30	Massachusetts	1415
2022-03-31	Massachusetts	1596
2022-04-01	Massachusetts	1600
2022-04-02	Massachusetts	1032
2022-04-03	Massachusetts	1032
2022-04-04	Massachusetts	1032
2022-04-05	Massachusetts	1211
2022-04-06	Massachusetts	1492
2022-04-07	Massachusetts	1976
2022-04-08	Massachusetts	1764
2022-04-09	Massachusetts	1422
2022-04-10	Massachusetts	1422
2022-04-11	Massachusetts	1422
2022-04-12	Massachusetts	1982
2022-04-13	Massachusetts	2238
2022-04-14	Massachusetts	3255
2022-04-15	Massachusetts	2727
2022-04-16	Massachusetts	1700
2022-04-17	Massachusetts	1700
2022-04-18	Massachusetts	1700
2022-04-19	Massachusetts	1700
2022-01-01	New Jersey	32391
2022-01-02	New Jersey	26452
2022-01-03	New Jersey	21743
2022-01-04	New Jersey	29614
2022-01-05	New Jersey	37285
2022-01-06	New Jersey	32264
2022-01-07	New Jersey	38461
2022-01-08	New Jersey	32700
2022-01-09	New Jersey	28514
2022-01-10	New Jersey	23060
2022-01-11	New Jersey	25405
2022-01-12	New Jersey	23275
2022-01-13	New Jersey	23672
2022-01-14	New Jersey	23109
2022-01-15	New Jersey	16859
