date	location	cases
2022-01-06	Australia	78229
2022-01-07	Australia	98092
2022-01-08	Australia	111907
2022-01-09	Australia	72834
2022-01-10	Australia	93806
2022-01-11	Australia	84408
2022-01-12	Australia	175271
2022-01-13	Australia	128185
2022-01-14	Australia	86288
2022-01-15	Australia	112867
2022-01-16	Australia	59891
2022-01-17	Australia	84355
2022-01-18	Australia	84615
2022-01-19	Australia	67604
2022-01-20	Australia	63941
2022-01-21	Australia	43166
2022-01-22	Australia	67182
2022-01-23	Australia	32234
2022-01-24	Australia	58022
2022-01-25	Australia	52920
2022-01-26	Australia	51016
2022-01-27	Australia	66223
2022-01-28	Australia	65980
2022-01-29	Australia	47258
2022-01-30	Australia	36719
2022-01-31	Australia	20073
2022-02-01	Australia	20073
2022-02-02	Australia	24228
2022-02-03	Australia	32179
2022-02-04	Australia	27336
2022-02-05	Australia	22985
2022-02-06	Australia	25247
2022-02-07	Australia	27373
2022-02-08	Australia	31510
2022-02-09	Australia	11483
2022-02-10	Australia	31250
2022-02-11	Australia	22564
2022-02-12	Australia	25607
2022-02-13	Australia	12289
2022-02-14	Australia	30913
2022-02-15	Australia	24394
2022-02-16	Australia	11364
2022-02-17	Australia	11364
2022-02-18	Australia	23217
2022-02-19	Australia	17376
2022-02-20	Australia	18219
2022-02-21	Australia	25163
2022-02-22	Australia	25229
2022-02-23	Australia	24852
2022-02-24	Australia	26670
2022-02-25	Australia	19803
2022-02-26	Australia	17543
2022-02-27	Australia	21482
2022-02-28	Australia	25418
2022-03-01	Australia	21755
2022-03-02	Australia	40012
2022-03-03	Australia	25159
2022-03-04	Australia	22716
2022-03-05	Australia	17376
2022-03-06	Australia	22182
2022-03-07	Australia	44962
2022-03-08	Australia	30691
2022-03-09	Australia	36335
2022-03-10	Australia	31689
2022-03-11	Australia	35077
2022-03-12	Australia	33495
2022-03-13	Australia	26440
2022-03-14	Australia	28803
2022-03-15	Australia	54309
2022-03-16	Australia	57148
2022-03-17	Australia	49166
2022-03-18	Australia	46952
2022-03-19	Australia	40854
2022-03-20	Australia	43230
2022-03-21	Australia	53063
2022-03-22	Australia	57556
2022-03-23	Australia	59704
2022-03-24	Australia	66782
2022-03-25	Australia	47988
2022-03-26	Australia	46749
2022-03-27	Australia	50971
2022-03-28	Australia	55738
2022-03-29	Australia	65523
2022-03-30	Australia	60239
2022-03-31	Australia	65385
