date	location	cases
2022-01-28	Arizona	15610
2022-01-29	Arizona	15506
2022-01-30	Arizona	13473
2022-01-31	Arizona	12259
2022-02-01	Arizona	7567
2022-02-02	Arizona	8330
2022-02-03	Arizona	7794
2022-02-04	Arizona	9077
2022-02-05	Arizona	8243
2022-02-06	Arizona	6379
2022-02-07	Arizona	4416
2022-02-08	Arizona	3790
2022-02-09	Arizona	5402
2022-02-10	Arizona	7379
2022-02-11	Arizona	2781
2022-02-12	Arizona	4284
2022-02-13	Arizona	4397
2022-02-14	Arizona	2685
2022-02-15	Arizona	1740
2022-02-16	Arizona	2177
2022-02-17	Arizona	2781
2022-02-18	Arizona	3054
2022-02-19	Arizona	2739
2022-02-20	Arizona	2043
2022-02-21	Arizona	2
2022-02-22	Arizona	2738
2022-02-23	Arizona	1236
2022-02-24	Arizona	1801
2022-02-25	Arizona	1773
2022-02-26	Arizona	1638
2022-02-27	Arizona	970
2022-02-28	Arizona	970
2022-03-01	Arizona	970
2022-03-02	Arizona	970
2022-03-03	Arizona	936
2022-03-04	Arizona	936
2022-03-05	Arizona	936
2022-03-06	Arizona	936
2022-03-07	Arizona	936
2022-03-08	Arizona	936
2022-03-09	Arizona	936
2022-03-10	Arizona	736
2022-03-11	Arizona	736
2022-03-12	Arizona	736
2022-03-13	Arizona	736
2022-03-14	Arizona	736
2022-03-15	Arizona	736
2022-03-16	Arizona	736
2022-03-17	Arizona	652
2022-03-18	Arizona	652
2022-03-19	Arizona	652
2022-03-20	Arizona	652
2022-03-21	Arizona	652
2022-03-22	Arizona	652
2022-03-23	Arizona	652
2022-03-24	Arizona	1449
2022-03-25	Arizona	1449
2022-03-26	Arizona	1449
2022-03-27	Arizona	1449
2022-03-28	Arizona	1449
2022-03-29	Arizona	1449
2022-03-30	Arizona	1449
2022-03-31	Arizona	977
2022-04-01	Arizona	977
2022-04-02	Arizona	977
2022-04-03	Arizona	977
2022-04-04	Arizona	977
2022-04-05	Arizona	977
2022-04-06	Arizona	977
2022-04-07	Arizona	397
2022-04-08	Arizona	397
2022-04-09	Arizona	397
2022-04-10	Arizona	397
2022-04-11	Arizona	397
2022-04-12	Arizona	397
2022-04-13	Arizona	397
2022-04-14	Arizona	340
2022-04-15	Arizona	340
2022-04-16	Arizona	340
2022-04-17	Arizona	340
2022-04-18	Arizona	340
2022-04-19	Arizona	340
2022-04-20	Arizona	340
2022-04-21	Arizona	336
2022-04-22	Arizona	336
2022-04-23	Arizona	336
2022-04-24	Arizona	336
2022-04-25	Arizona	336
2022-04-26	Arizona	336
2022-04-27	Arizona	336
2022-04-28	Arizona	559
2022-04-29	Arizona	559
2022-04-30	Arizona	559
2022-05-01	Arizona	559
2022-05-02	Arizona	559
2022-05-03	Arizona	559
2022-05-04	Arizona	559
2022-05-05	Arizona	784
2022-05-06	Arizona	784
2022-05-07	Arizona	784
2022-05-08	Arizona	784
2022-05-09	Arizona	784
2022-05-10	Arizona	784
2022-05-11	Arizona	784
2022-05-12	Arizona	1029
2022-05-13	Arizona	1029
2022-05-14	Arizona	1029
2022-05-15	Arizona	1029
2022-05-16	Arizona	1029
2022-05-17	Arizona	1029
2022-05-18	Arizona	1029
2022-05-19	Arizona	1643
2022-05-20	Arizona	1643
2022-05-21	Arizona	1643
2022-05-22	Arizona	1643
2022-05-23	Arizona	1643
2022-05-24	Arizona	1643
2022-05-25	Arizona	1643
2022-05-26	Arizona	0
2022-01-28	California	76729
2022-01-29	California	57409
2022-01-30	California	57409
2022-01-31	California	57409
2022-02-01	California	37147
2022-02-02	California	25550
2022-02-03	California	96528
2022-02-04	California	37012
2022-02-05	California	24454
2022-02-06	California	24454
2022-02-07	California	24454
2022-02-08	California	47310
2022-02-09	California	39312
2022-02-10	California	10751
2022-02-11	California	22947
2022-02-12	California	13386
2022-02-13	California	13386
2022-02-14	California	13386
2022-02-15	California	14697
2022-02-16	California	12444
2022-02-17	California	11220
2022-02-18	California	12577
2022-02-19	California	10146
2022-02-20	California	10146
2022-02-21	California	10146
2022-02-22	California	10146
2022-02-23	California	6483
2022-02-24	California	15674
2022-02-25	California	11737
2022-02-26	California	6497
2022-02-27	California	6497
2022-02-28	California	6497
2022-03-01	California	1460
2022-03-02	California	6027
2022-03-03	California	12793
2022-03-04	California	5754
2022-03-05	California	4211
2022-03-06	California	4211
2022-03-07	California	4211
2022-03-08	California	2358
2022-03-09	California	4985
2022-03-10	California	8579
2022-03-11	California	3825
2022-03-12	California	3876
2022-03-13	California	3876
2022-03-14	California	3876
2022-03-15	California	727
2022-03-16	California	3482
2022-03-17	California	5342
2022-03-18	California	4541
2022-03-19	California	5116
2022-03-20	California	5116
2022-03-21	California	5116
2022-03-22	California	662
2022-03-23	California	5100
2022-03-24	California	4891
2022-03-25	California	3029
2022-03-26	California	2390
2022-03-27	California	2390
2022-03-28	California	2390
2022-03-29	California	741
2022-03-30	California	2761
2022-03-31	California	6396
2022-04-01	California	4026
2022-04-02	California	2481
2022-04-03	California	2481
2022-04-04	California	2481
2022-04-05	California	2481
2022-04-06	California	3280
2022-04-07	California	3280
2022-04-08	California	3280
2022-04-09	California	3162
2022-04-10	California	3162
2022-04-11	California	3162
2022-04-12	California	3162
2022-04-13	California	3162
2022-04-14	California	3162
2022-04-15	California	6566
2022-04-16	California	3690
2022-04-17	California	3690
2022-04-18	California	3690
2022-04-19	California	3690
2022-04-20	California	7430
2022-04-21	California	7430
2022-04-22	California	7430
2022-04-23	California	5347
2022-04-24	California	5347
2022-04-25	California	5347
2022-04-26	California	5347
2022-04-27	California	7344
2022-04-28	California	7344
2022-04-29	California	7344
2022-04-30	California	6500
2022-05-01	California	6500
2022-05-02	California	6500
2022-05-03	California	6500
2022-05-04	California	9059
2022-05-05	California	9059
2022-05-06	California	9059
2022-05-07	California	8302
2022-05-08	California	8302
2022-05-09	California	8302
2022-05-10	California	8302
2022-05-11	California	9118
2022-05-12	California	9118
2022-05-13	California	9118
2022-05-14	California	12636
2022-05-15	California	12636
2022-05-16	California	12636
2022-05-17	California	12636
2022-05-18	California	17468
2022-05-19	California	17468
2022-05-20	California	17468
2022-05-21	California	13902
2022-05-22	California	13902
2022-05-23	California	13902
2022-05-24	California	13902
2022-05-25	California	0
2022-05-26	California	0
2022-01-28	Colorado	8435
2022-01-29	Colorado	6515
2022-01-30	Colorado	4776
2022-01-31	Colorado	3903
2022-02-01	Colorado	3788
2022-02-02	Colorado	4893
2022-02-03	Colorado	5265
2022-02-04	Colorado	2779
2022-02-05	Colorado	3504
2022-02-06	Colorado	2814
2022-02-07	Colorado	1797
2022-02-08	Colorado	2199
2022-02-09	Colorado	3130
2022-02-10	Colorado	2610
2022-02-11	Colorado	2207
2022-02-12	Colorado	2073
2022-02-13	Colorado	1134
2022-02-14	Colorado	698
2022-02-15	Colorado	1057
2022-02-16	Colorado	1891
2022-02-17	Colorado	1466
2022-02-18	Colorado	1263
2022-02-19	Colorado	1047
2022-02-20	Colorado	755
2022-02-21	Colorado	480
2022-02-22	Colorado	628
