date	location	variant	median_I_smooth	I_smooth_upper_95	I_smooth_lower_95	I_smooth_upper_80	I_smooth_lower_80	I_smooth_upper_50	I_smooth_lower_50	median_freq
2022-03-27	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-28	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-29	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-30	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-31	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-01	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-02	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-03	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-04	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-05	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-06	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-07	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-08	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-09	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-10	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-11	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-12	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-13	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-14	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-15	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-16	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-17	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-18	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-19	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-20	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-21	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
