date	location	variant	median_freq	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50
2022-03-11	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-12	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-13	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-14	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-15	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-16	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-17	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-18	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-19	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-20	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-21	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-22	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-23	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-24	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-25	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-26	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-27	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-28	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-29	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-30	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-03-31	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-01	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-02	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-03	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-04	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-05	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-06	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-07	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-08	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-09	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-10	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-11	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-12	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-13	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-14	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2022-04-15	Australia	Delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0
